,Source,Target,Regulation Type,Contradicted,None,Supported,Weight
1,CEBPA,GFI1,Activation,0,9,3,1
2,CEBPA,SPI1,Activation,1,6,5,1
3,KLF1,FLI1,Repression,0,8,4,-1
5,FLI1,KLF1,Repression,0,8,4,-1
6,FLI1,GATA1,Activation,0,11,1,1
8,GATA1,KLF1,Activation,0,10,2,1
10,GATA1,FLI1,Activation,0,10,2,1
11,GATA1,GATA2,Repression,0,8,4,-1
12,GATA1,SPI1,Repression,0,3,9,-1
13,GATA1,TAL1,Activation,0,11,1,1
14,GATA2,GATA1,Activation,0,8,4,1
15,GATA2,SPI1,Repression,0,6,6,-1
16,GFI1,SPI1,Repression,0,9,3,-1
20,SPI1,GATA1,Repression,0,3,9,-1
21,SPI1,GATA2,Repression,0,6,6,-1
22,SPI1,TAL1,Repression,0,11,1,-1
4,EGR1,GFI1,Repression,0,9,3,-1
17,GFI1,EGR1,Repression,0,9,3,-1
19,SPI1,EGR1,Activation,0,9,3,1
